team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
SAS,2010,17,8,18,6,11,11,11,14,20,7,19,18,24,18,5,9,7,26,22,10,13,15,17,11,13,12,1,1,7,20,28,5,10,9,13,5,10,5,3,8,20,30,19,8
TOR,2010,17,5,19,5,15,18,6,6,16,6,7,8,13,26,15,23,10,30,21,7,23,5,17,22,21,19,29,27,26,18,10,22,25,23,30,23,11,14,24,16,8,29,13,27
UTA,2010,25,3,23,2,23,25,7,2,10,5,3,2,23,20,9,12,1,4,16,26,29,4,25,4,6,8,20,22,16,3,4,10,28,28,19,7,4,3,8,23,26,5,5,12
WAS,2010,12,23,16,24,24,24,14,17,5,28,23,24,14,7,22,16,27,28,11,21,21,26,12,15,12,17,17,13,20,14,11,17,20,19,18,24,18,19,20,9,19,22,18,16
ATL,2011,28,23,25,12,17,16,18,21,23,12,29,29,6,29,20,28,12,29,28,9,1,26,28,14,10,18,5,8,4,15,13,19,4,3,25,6,16,10,16,3,5,29,29,9
BOS,2011,20,20,30,1,26,28,12,7,20,3,20,22,11,30,13,29,4,3,27,22,15,23,20,1,4,3,3,2,5,2,9,2,14,16,9,8,4,4,1,9,10,5,22,1
NJN,2011,1,27,15,28,21,20,22,23,9,27,25,23,19,14,23,17,19,30,16,14,25,28,1,16,12,19,10,10,19,17,18,17,21,22,6,7,21,20,21,4,13,30,25,15
CHA,2011,18,29,28,22,27,26,29,20,15,21,13,12,21,21,22,24,18,28,8,21,8,29,18,8,8,10,24,26,16,8,3,15,13,9,29,2,10,5,18,16,29,27,13,11
CHI,2011,12,18,22,13,15,17,13,12,14,16,14,11,26,7,4,2,9,17,5,17,9,20,12,2,9,1,1,4,1,7,19,1,9,8,15,4,1,1,2,7,26,15,24,2
CLE,2011,27,28,13,29,16,13,23,27,16,28,8,8,24,19,21,22,20,26,28,18,12,25,27,26,20,27,30,27,30,18,14,20,7,7,10,17,30,26,28,22,28,25,10,23
DAL,2011,29,13,24,5,8,5,11,25,29,1,24,27,8,28,6,14,2,23,24,12,4,11,29,11,15,8,11,17,7,13,12,10,3,5,5,14,14,13,10,23,2,24,23,10
DEN,2011,29,6,17,3,7,8,3,19,25,5,2,1,16,26,5,11,10,13,24,16,18,1,29,21,26,16,23,29,8,19,16,21,19,19,8,9,19,18,20,19,27,20,1,21
DET,2011,6,16,13,17,20,22,6,9,7,22,28,25,27,12,29,30,17,16,30,2,7,22,6,18,5,30,14,15,14,20,6,30,16,14,17,11,15,12,27,7,15,14,27,16
GSW,2011,12,1,1,14,4,6,2,11,10,19,30,30,17,10,26,19,7,2,12,23,24,7,12,22,19,21,22,22,13,22,17,26,29,29,26,30,26,30,29,29,6,2,30,27
HOU,2011,6,4,4,21,6,4,9,17,18,17,5,7,4,9,12,7,1,21,19,8,11,3,6,29,29,22,4,1,15,30,30,18,17,13,30,25,20,24,12,15,22,21,8,22
IND,2011,20,22,9,25,10,9,16,26,17,25,6,10,5,13,3,5,28,20,6,27,22,13,20,17,23,7,12,11,17,16,24,6,23,23,4,23,25,25,7,21,25,17,7,17
LAC,2011,10,21,20,20,14,11,25,14,22,13,8,4,29,10,15,9,10,19,13,29,20,19,10,15,17,11,25,25,20,12,10,12,25,25,23,21,8,9,22,27,18,21,2,20
LAL,2011,12,10,11,11,12,14,17,8,11,11,10,17,7,5,7,3,13,14,10,5,2,9,12,13,27,5,20,28,3,11,20,5,1,1,16,29,7,19,22,12,11,23,18,8
MEM,2011,6,3,8,6,30,30,27,1,1,15,17,15,23,6,24,16,21,1,7,12,17,12,6,9,7,14,27,23,24,9,5,13,12,12,11,18,4,8,14,20,30,1,8,13
MIA,2011,20,19,29,2,11,15,7,18,27,2,3,3,12,27,2,9,26,26,9,11,14,8,20,5,13,2,18,21,9,1,7,4,10,17,2,9,2,2,5,9,1,28,5,6
MIL,2011,12,30,23,30,19,18,24,29,19,30,27,23,20,18,16,18,30,11,14,7,16,30,12,3,3,6,2,5,2,10,8,7,15,11,21,5,27,21,6,2,16,7,19,3
MIN,2011,20,12,2,27,9,10,5,15,6,29,12,18,13,1,11,1,25,17,10,30,27,10,20,25,28,22,29,30,27,21,15,24,28,28,28,20,22,23,30,30,21,12,15,30
NOH,2011,12,26,26,18,22,25,14,16,13,20,23,21,15,24,19,24,21,9,20,3,18,27,12,6,2,13,19,19,12,2,1,16,5,4,22,1,12,3,15,1,17,10,20,5
NYK,2011,20,8,6,19,2,2,8,28,28,8,4,6,2,22,18,20,15,8,4,10,21,2,20,27,25,26,16,14,25,27,26,23,24,24,13,26,28,28,8,13,9,6,16,28
OKC,2011,1,14,18,10,18,19,19,10,12,9,1,2,1,15,8,8,24,6,2,15,28,5,1,19,21,15,9,6,18,24,28,11,20,21,2,24,6,10,13,14,7,16,6,18
ORL,2011,12,24,27,16,1,1,10,30,30,4,22,5,30,17,1,6,27,24,16,25,10,16,12,4,11,4,13,16,10,4,11,3,8,10,1,3,11,7,4,17,3,19,4,4
PHI,2011,4,11,10,15,23,24,15,4,5,18,26,26,10,20,10,13,6,10,23,1,6,18,4,11,14,9,6,9,6,14,23,9,18,18,24,15,24,22,17,11,14,13,28,12
PHO,2011,1,2,7,7,3,3,4,13,24,6,19,20,18,25,17,23,3,25,22,19,13,4,1,30,30,25,26,24,21,28,25,27,11,15,7,27,29,29,25,26,7,11,12,29
POR,2011,18,25,19,24,13,12,21,24,21,23,18,28,3,4,30,27,16,5,21,4,5,24,18,7,1,20,15,13,23,5,2,22,6,6,19,12,3,6,3,5,4,4,11,7
SAC,2011,10,9,3,23,25,21,26,3,3,24,21,15,28,2,14,4,23,12,15,28,23,15,10,28,22,28,8,7,11,29,27,28,21,20,13,12,18,16,19,28,24,8,14,25
SAS,2011,20,5,16,4,4,7,1,22,26,7,11,14,14,23,9,12,8,14,18,6,3,6,20,20,24,12,7,3,22,25,29,8,2,2,18,16,17,17,9,6,12,26,17,14
TOR,2011,20,7,12,8,29,29,30,2,4,10,15,19,22,8,27,21,14,21,26,24,25,17,20,24,16,29,17,12,28,26,21,29,26,26,20,19,12,15,24,25,23,18,26,26
UTA,2011,6,15,21,9,24,22,20,6,8,14,7,9,9,16,28,26,4,7,3,20,30,14,6,9,6,17,28,20,29,5,4,13,30,30,27,22,9,14,11,18,19,9,3,19
WAS,2011,4,17,5,25,28,27,28,5,2,26,16,12,25,3,25,15,29,4,1,26,29,21,4,23,18,24,21,18,26,23,22,25,27,27,12,28,23,27,26,24,20,3,21,24
