,id,day,month,year,home_team,team,opponent,url
131,131,6,11,2013,0,CLE,MIL,https://www.basketball-reference.com/boxscores/201311060MIL.html
132,132,6,11,2013,1,MIN,GSW,https://www.basketball-reference.com/boxscores/201311060MIN.html
133,133,6,11,2013,0,GSW,MIN,https://www.basketball-reference.com/boxscores/201311060MIN.html
134,134,6,11,2013,1,SAS,PHO,https://www.basketball-reference.com/boxscores/201311060SAS.html
135,135,6,11,2013,0,PHO,SAS,https://www.basketball-reference.com/boxscores/201311060SAS.html
136,136,6,11,2013,1,OKC,DAL,https://www.basketball-reference.com/boxscores/201311060OKC.html
137,137,6,11,2013,0,DAL,OKC,https://www.basketball-reference.com/boxscores/201311060OKC.html
138,138,7,11,2013,1,MIA,LAC,https://www.basketball-reference.com/boxscores/201311070MIA.html
139,139,7,11,2013,0,LAC,MIA,https://www.basketball-reference.com/boxscores/201311070MIA.html
140,140,7,11,2013,1,DEN,ATL,https://www.basketball-reference.com/boxscores/201311070DEN.html
141,141,7,11,2013,0,ATL,DEN,https://www.basketball-reference.com/boxscores/201311070DEN.html
142,142,7,11,2013,1,HOU,LAL,https://www.basketball-reference.com/boxscores/201311070HOU.html
143,143,7,11,2013,0,LAL,HOU,https://www.basketball-reference.com/boxscores/201311070HOU.html
144,144,8,11,2013,1,CHA,NYK,https://www.basketball-reference.com/boxscores/201311080CHA.html
145,145,8,11,2013,0,NYK,CHA,https://www.basketball-reference.com/boxscores/201311080CHA.html
146,146,8,11,2013,1,IND,TOR,https://www.basketball-reference.com/boxscores/201311080IND.html
147,147,8,11,2013,0,TOR,IND,https://www.basketball-reference.com/boxscores/201311080IND.html
148,148,8,11,2013,1,ORL,BOS,https://www.basketball-reference.com/boxscores/201311080ORL.html
149,149,8,11,2013,0,BOS,ORL,https://www.basketball-reference.com/boxscores/201311080ORL.html
150,150,8,11,2013,1,PHI,CLE,https://www.basketball-reference.com/boxscores/201311080PHI.html
151,151,8,11,2013,0,CLE,PHI,https://www.basketball-reference.com/boxscores/201311080PHI.html
152,152,8,11,2013,1,WAS,BRK,https://www.basketball-reference.com/boxscores/201311080WAS.html
153,153,8,11,2013,0,BRK,WAS,https://www.basketball-reference.com/boxscores/201311080WAS.html
154,154,8,11,2013,1,DET,OKC,https://www.basketball-reference.com/boxscores/201311080DET.html
155,155,8,11,2013,0,OKC,DET,https://www.basketball-reference.com/boxscores/201311080DET.html
156,156,8,11,2013,1,CHI,UTA,https://www.basketball-reference.com/boxscores/201311080CHI.html
157,157,8,11,2013,0,UTA,CHI,https://www.basketball-reference.com/boxscores/201311080CHI.html
158,158,8,11,2013,1,MIN,DAL,https://www.basketball-reference.com/boxscores/201311080MIN.html
159,159,8,11,2013,0,DAL,MIN,https://www.basketball-reference.com/boxscores/201311080MIN.html
160,160,8,11,2013,1,NOP,LAL,https://www.basketball-reference.com/boxscores/201311080NOP.html
161,161,8,11,2013,0,LAL,NOP,https://www.basketball-reference.com/boxscores/201311080NOP.html
162,162,8,11,2013,1,SAS,GSW,https://www.basketball-reference.com/boxscores/201311080SAS.html
163,163,8,11,2013,0,GSW,SAS,https://www.basketball-reference.com/boxscores/201311080SAS.html
164,164,8,11,2013,1,PHO,DEN,https://www.basketball-reference.com/boxscores/201311080PHO.html
165,165,8,11,2013,0,DEN,PHO,https://www.basketball-reference.com/boxscores/201311080PHO.html
166,166,8,11,2013,1,POR,SAC,https://www.basketball-reference.com/boxscores/201311080POR.html
167,167,8,11,2013,0,SAC,POR,https://www.basketball-reference.com/boxscores/201311080POR.html
168,168,9,11,2013,1,TOR,UTA,https://www.basketball-reference.com/boxscores/201311090TOR.html
169,169,9,11,2013,0,UTA,TOR,https://www.basketball-reference.com/boxscores/201311090TOR.html
170,170,9,11,2013,1,ATL,ORL,https://www.basketball-reference.com/boxscores/201311090ATL.html
171,171,9,11,2013,0,ORL,ATL,https://www.basketball-reference.com/boxscores/201311090ATL.html
172,172,9,11,2013,1,BRK,IND,https://www.basketball-reference.com/boxscores/201311090BRK.html
173,173,9,11,2013,0,IND,BRK,https://www.basketball-reference.com/boxscores/201311090BRK.html
174,174,9,11,2013,1,CLE,PHI,https://www.basketball-reference.com/boxscores/201311090CLE.html
175,175,9,11,2013,0,PHI,CLE,https://www.basketball-reference.com/boxscores/201311090CLE.html
176,176,9,11,2013,1,MIA,BOS,https://www.basketball-reference.com/boxscores/201311090MIA.html
177,177,9,11,2013,0,BOS,MIA,https://www.basketball-reference.com/boxscores/201311090MIA.html
178,178,9,11,2013,1,HOU,LAC,https://www.basketball-reference.com/boxscores/201311090HOU.html
179,179,9,11,2013,0,LAC,HOU,https://www.basketball-reference.com/boxscores/201311090HOU.html
180,180,9,11,2013,1,MEM,GSW,https://www.basketball-reference.com/boxscores/201311090MEM.html
181,181,9,11,2013,0,GSW,MEM,https://www.basketball-reference.com/boxscores/201311090MEM.html
182,182,9,11,2013,1,MIL,DAL,https://www.basketball-reference.com/boxscores/201311090MIL.html
